"gender" "height"
"F" 168
"F" 171
"M" 185
"F" 172
"F" 162
"M" 170
"NA" 171
"female" 173
"M" 174
"Female " 171
"M" 175
"F" 168
"Na" 164
"male" 164
"Female" 172
"M" 169
"M" 166
"M" 163
"F" 172
"NA" 169
"F" 170
"F" 167
"F" 173
"M" 165
"F" 166
"M" 172
"Male" 171
"M" 183
"F" 173
"M" 163
"Female " 167
"F" 164
"M" 178
"F" 176
"F" 171
"F" 162
"M" 170
"M" 171
"F" 167
"F" 167
"male" 170
"male " 168
"M" 179
"F" 172
"F" 168
"M" 169
"M" 167
"M" 170
"F" 162
"F" 162
"F" 170
"M" 163
"F" 178
"F" 174
"F" 171
"M" 168
"F" 172
"M" 163
" Male" 165
"M" 174
"M" 169
"na" 167
"F" 169
"F" 171
"female " 164
"F" 168
"M" 173
"F" 175
"F" 165
"F" 172
"M" 173
"M" 174
"M" 169
"M" 166
"F" 175
"F" 169
"Female " 168
"M" 169
"M" 170
" female" 176
"F" 168
"F" 165
"M" 168
" female" 175
"M" 177
"F" 173
"Female " 170
"F" 166
"M" 174
"Na" 179
NA 170
"F" 171
"M" 162
"M" 173
"M" 165
"M" 165
"Female " 174
"M" 171
"F" 166
"female" 178
"F" 160
"NA" 169
"M" 164
"M" 172
"F" 172
" male" 173
"M" 173
"M" 163
"M" 165
"M" 162
"female " 176
"M" 161
"M" 166
"F" 165
"M" 170
"M" 172
"F" 171
"F" 161
"M" 170
"M" 172
"na" 175
"M" 169
"F" 166
"male" 168
"M" 175
"F" 174
"M" 166
"NA" 175
"M" 163
"F" 167
"M" 169
"F" 168
"F" 169
"M" 172
"F" 176
"F" 168
"M" 167
"M" 170
"F" 169
"M" 176
"F" 162
"female" 160
"M" 171
"M" 161
"male" 170
"F" 177
NA 171
"F" 175
"M" 167
"F" 162
"Na" 164
"F" 169
"M" 164
"M" 164
"M" 173
"M" 169
"M" 171
"NA" 174
"M" 180
"F" 168
"male" 165
"F" 175
"M" 163
"M" 164
"F" 172
"M" 168
"M" 180
"F" 171
"F" 165
" female" 166
"M" 174
"F" 170
"F" 162
"F" 173
"F" 163
"NA" 165
"F" 172
"M" 178
"M" 165
NA 173
"M" 170
"F" 168
"F" 159
"M" 167
"M" 170
"F" 164
"M" 170
"F" 177
"M" 172
"M" 167
"Na" 174
"M" 163
"M" 166
" female" 171
"M" 162
" female" 184
"M" 165
"Male " 167
"M" 162
"F" 167
"F" 166
"F" 173
"M" 173
"M" 172
"F" 169
"M" 180
"F" 169
"F" 168
"M" 167
"M" 166
"M" 165
" male" 175
"female" 165
"F" 163
"M" 172
"M" 171
"Female" 172
"F" 169
"M" 163
"M" 154
"F" 176
"male " 166
"M" 168
"F" 162
" male" 162
"F" 164
"F" 169
"F" 175
"F" 179
"F" 176
"F" 167
"F" 174
"F" 171
"M" 176
"M" 172
"F" 174
"female " 176
"F" 161
"F" 163
"F" 165
"F" 165
"F" 168
"M" 176
"F" 172
"M" 171
" Female" 168
"F" 167
"F" 175
"female" 173
"F" 183
"na" 168
"Male " 171
"M" 177
"F" 179
"F" 171
"F" 172
"F" 164
"Male" 168
"M" 166
" Male" 165
"male" 161
"M" 168
"male " 177
"F" 174
"M" 171
"M" 173
"F" 169
"female " 167
"F" 167
" Female" 173
"F" 176
"F" 166
"M" 168
"na" 158
"Female" 170
"M" 167
"F" 171
"F" 173
"F" 173
"F" 174
"F" 161
"M" 168
"M" 170
"M" 172
"F" 167
"M" 170
" male" 171
"F" 163
"F" 170
"female " 174
"M" 175
