id sex skull.H
416 m 146
417 m 135
420 m 131
421 m 134
422 m 129
423 m 128
424 m 126
425 m 132
426 m 126
427 m 128
428 m 128
429 m 134
430 m 129
431 m 123
433 m 131
434 m 139
435 m 135
436 m 131
437 m 130
438 m 131
439 m 139
440 m 130
441 m 134
442 m 133
443 m 126
444 m 132
445 m 137
446 m 126
447 m 130
448 m 123
449 m 134
450 m 132
451 m 128
452 m 143
453 m NA
454 m 126
455 m 132
477 m NA
478 m 133
479 m 130
480 m 134
481 m 136
482 m 132
483 m 132
489 m 142
490 m 137
491 m 132
492 m 130
493 m 142
494 m 134
495 m 138
496 m 139
497 m 130
498 m 135
499 m 133
500 m 127
501 m 131
502 m 140
503 m 134
504 m 131
505 m 130
506 m 137
507 m 135
508 m 127
509 m 133
510 m 137
511 m 136
512 m 140
513 m 134
514 m 132
515 m 136
516 m 129
517 m 130
518 m 125
519 m 135
520 m 134
521 m 126
522 m 133
523 m 132
524 m 136
525 m 127
526 m 125
527 m 130
528 m 124
529 m 128
530 m 129
531 m 133
532 m 134
533 m 126
534 m 131
535 m 134
536 m 128
537 m 126
538 m 127
539 m 122
540 m 128
541 m 146
542 m 126
543 m 137
544 m 136
545 m 133
546 m 130
547 m 138
548 m 134
549 m 130
550 m 136
551 m 131
552 m 129
553 m 122
554 m 132
555 m 130
556 m 135
557 m 135
558 m 137
559 m 134
560 m 134
561 m 135
562 m 133
563 m 134
564 m 138
565 m 125
566 m 135
567 m 139
568 m 129
569 m 141
570 m 135
571 m 138
572 m 128
573 m 141
574 m 139
575 m 135
576 m 132
577 m 133
578 m 136
579 m 137
580 m 132
581 m 135
582 m 131
583 m 129
584 m 135
585 m 138
586 m NA
587 m 139
588 m 130
589 m 136
590 m 136
591 m 130
592 m 130
593 m 132
594 m 120
595 m 128
596 m 131
597 m 137
598 m 136
599 m 127
600 m 126
601 m 133
602 m 134
603 m 123
604 m 129
605 m 130
606 m 131
607 m 130
608 m 135
609 m 133
610 m 135
611 m 131
612 m 134
613 m 125
614 m 137
615 m 131
616 m 127
617 m 129
618 m 127
619 m 131
620 m 126
621 m 124
622 m 124
623 m 128
624 m 131
625 m 130
626 m 127
627 m 122
628 m 120
629 m 135
630 m 130
631 m 126
632 m 134
633 m 133
634 m 127
635 m 132
636 m 138
637 m 138
638 m 132
639 m 126
640 m 133
641 m 124
642 m 119
643 m 132
644 m 131
645 m 132
646 m 133
647 m 127
648 m 136
649 m 130
650 m 129
652 m 133
653 m 129
654 m 130
655 m 134
656 m 128
657 m 136
658 m 131
744 m 138
745 m 141
746 m 127
747 m 138
415 m 141
418 f 129
419 f 129
432 f 133
456 f NA
457 f 126
458 f 129
459 f 131
460 f 118
461 f 127
462 f 121
463 f 129
464 f 127
465 f 126
466 f 122
467 f 125
468 f 125
469 f 133
470 f 127
471 f 129
472 f 127
473 f 122
474 f 117
475 f 120
476 f 128
484 f 119
485 f 119
486 f 131
487 f 129
488 f 131
651 f NA
659 f 123
660 f 131
661 f 130
662 f 127
663 f 126
664 f 130
665 f 132
666 f 120
667 f 134
668 f 131
669 f 123
670 f 124
671 f 126
672 f 127
673 f 130
674 f 117
675 f 125
676 f 125
677 f 120
678 f 127
679 f 120
680 f 127
681 f 128
682 f 117
683 f 118
684 f 129
685 f 128
686 f 122
687 f 128
688 f 129
689 f 121
690 f 132
691 f 123
692 f 117
693 f 132
694 f 125
695 f 132
696 f 128
697 f 126
698 f 125
699 f NA
700 f 129
701 f 123
702 f 122
703 f 125
704 f 117
705 f 117
706 f 125
707 f 126
708 f 119
709 f 124
710 f 122
711 f 127
712 f 125
713 f 133
714 f 117
715 f 126
716 f 128
717 f 126
718 f 122
719 f 122
720 f 120
721 f 130
722 f 131
723 f 129
724 f 134
725 f 132
726 f 128
727 f 125
728 f 123
729 f 124
730 f 124
731 f 122
732 f 120
733 f 128
734 f 130
735 f 131
748 f 136
749 f 123
750 f 119
