id sex hip.C
1 f 1094
3 m 1000
5 f 1047
7 m 980
9 f 905
11 f 890
13 m 975
15 f 1030
17 f 950
19 f 987
21 f 970
23 m 1300
25 f 1030
27 f 1080
29 m 1030
31 m 975
33 f 930
35 m 980
37 m 915
39 f 980
41 f 1060
43 m 945
45 m 979
47 m 900
49 m 950
52 f 1040
54 m 920
56 f 1000
58 m 975
60 m 970
62 m 960
66 m 874
69 m 1010
71 f 1080
73 f 840
75 f 1160
77 m 965
79 m 1040
81 m 925
83 m 1030
85 m 990
87 m 945
89 m 955
91 m 983
93 m 955
96 f 1070
98 f 930
100 m 965
102 f 910
104 f 940
107 f 1010
109 f 1050
112 f 990
114 f 890
116 f 970
118 f 970
120 f 960
122 f 970
124 f 1015
126 m 947
129 m 1014
132 m 975
134 m 1010
136 m 960
138 m 920
141 m 930
143 m 970
145 m 1000
147 m 940
149 m 977
151 m 910
153 f 920
155 m 1060
157 m 1010
161 m 965
163 m 1055
165 m 1000
167 m 955
169 m 960
171 m 1020
173 m 1020
175 f 970
178 f 950
180 f 920
184 f 880
186 f 910
188 f 960
